,Image_Label,probs,types,Image_Path
404,3,1.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell0405.png
311,3,1.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell0312.png
476,3,1.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell0477.png
11,3,1.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell0012.png
685,3,1.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell0686.png
1653,3,1.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell1654.png
227,3,1.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell0228.png
1053,3,1.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell1054.png
285,3,1.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell0286.png
471,3,1.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell0472.png
75,3,1.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell0076.png
780,3,1.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell0781.png
1956,3,1.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell1957.png
393,3,1.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell0394.png
1961,3,1.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell1962.png
1097,3,1.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell1098.png
1963,3,1.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell1964.png
1426,3,1.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell1427.png
897,3,1.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell0898.png
512,3,1.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell0513.png
395,3,1.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell0396.png
300,3,1.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell0301.png
861,3,1.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell0862.png
496,3,1.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell0497.png
644,3,1.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell0645.png
975,3,1.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell0976.png
686,3,1.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell0687.png
442,3,1.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell0443.png
262,3,1.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell0263.png
714,3,1.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell0715.png
1389,3,1.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell1390.png
435,3,1.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell0436.png
816,3,1.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell0817.png
1981,3,1.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell1982.png
452,3,1.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell0453.png
265,3,1.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell0266.png
1142,3,1.0,mono,./My_Datasets/Classification/elpv-dataset-master/images/cell1143.png
882,3,1.0,poly,./My_Datasets/Classification/elpv-dataset-master/images/cell0883.png
