Unnamed: 0,Unnamed: 0.1,Image_Label,Image_Class,Image_Path
10,202,0,Mouse_bite,./My_Datasets/Classification/PCB-200/Mouse_bite/00896_0_01_04655_03648.bmp
13,339,0,Mouse_bite,./My_Datasets/Classification/PCB-200/Mouse_bite/000330_0_00_07461_10311.bmp
14,220,0,Mouse_bite,./My_Datasets/Classification/PCB-200/Mouse_bite/01213_0_01_09025_09216.bmp
15,317,0,Mouse_bite,./My_Datasets/Classification/PCB-200/Mouse_bite/000033_0_01_06402_07164.bmp
17,248,0,Mouse_bite,./My_Datasets/Classification/PCB-200/Mouse_bite/05254_0_01_07661_03957.bmp
18,286,0,Mouse_bite,./My_Datasets/Classification/PCB-200/Mouse_bite/000197_0_02_01522_10477.bmp
90,0,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_30/1.jpg
91,1,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_30/2.jpg
92,2,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_30/3.jpg
93,3,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_30/4.jpg
95,5,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_30/6.jpg
96,6,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_30/7.jpg
97,7,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_30/8.jpg
98,8,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_30/9.jpg
99,9,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_30/10.jpg
100,10,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_30/11.jpg
101,11,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_30/12.jpg
102,12,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_30/13.jpg
103,13,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_30/14.jpg
104,14,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_30/15.jpg
105,15,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_30/16.jpg
106,16,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_30/17.jpg
107,17,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_30/18.jpg
108,18,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_30/19.jpg
109,19,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_30/20.jpg
110,20,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_30/21.jpg
111,21,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_30/22.jpg
113,23,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_30/24.jpg
114,24,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_30/25.jpg
116,26,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_30/27.jpg
117,27,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_30/28.jpg
118,28,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_30/29.jpg
119,29,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_30/30.jpg
109,19,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_30/20.jpg
211,1,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_70/2.jpg
212,2,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_70/3.jpg
213,3,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_70/4.jpg
214,4,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_70/5.jpg
215,5,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_70/6.jpg
216,6,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_70/7.jpg
217,7,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_70/8.jpg
218,8,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_70/9.jpg
219,9,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_70/10.jpg
220,10,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_70/11.jpg
221,11,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_70/12.jpg
222,12,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_70/13.jpg
223,13,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_70/14.jpg
224,14,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_70/15.jpg
107,17,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_30/18.jpg
226,16,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_70/17.jpg
227,17,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_70/18.jpg
228,18,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_70/19.jpg
229,19,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_70/20.jpg
114,24,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_30/25.jpg
231,21,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_70/22.jpg
232,22,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_70/23.jpg
108,18,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_30/19.jpg
91,1,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_30/2.jpg
235,25,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_70/26.jpg
90,0,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_30/1.jpg
237,27,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_70/28.jpg
238,28,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_70/29.jpg
239,29,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_70/30.jpg
240,30,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_70/31.jpg
242,32,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_70/33.jpg
243,33,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_70/34.jpg
244,34,0,Mouse_bite,My_TAOD/TA/TA_Results/CycleGAN/PCB_200[10-shot]<-DeepPCB_Crop[200-shot] 0 2025-01-09_09-54-21/samples/3000epoch_70/35.jpg
